title,rating,body,body_char_len,body_word_len,title_word_len,sentiment,full_text,clean_text,tokens,lemmatized_tokens,final_text
Horrible product,1,Very disappointed with the overall performance from Samsung,59,8,2,Negative,Horrible product Very disappointed with the overall performance from Samsung,horrible product very disappointed with the overall performance from samsung,"['horrible', 'product', 'disappointed', 'overall', 'performance', 'samsung']","['horrible', 'product', 'disappointed', 'overall', 'performance', 'samsung']",horrible product disappointed overall performance samsung
Camera quality is not like 48 megapixel,3,Camera quality is low,21,4,7,Neutral,Camera quality is not like 48 megapixel Camera quality is low,camera quality is not like megapixel camera quality is low,"['camera', 'quality', 'not', 'like', 'megapixel', 'camera', 'quality', 'low']","['camera', 'quality', 'not', 'like', 'megapixel', 'camera', 'quality', 'low']",camera quality not like megapixel camera quality low
Overall,4,"Got the mobile on the launch date,Battery must be appreciatedCamera is just averageMobile performance is above average90hz refresh rate? If u r buying the mobile for this feature then I'm afraid u may get disappointed, it's just normal.The USB cable is too small in lengthIt's a good mobile in this budget, there are no returns for this,  only replacement is available, hence choose wisely before buying",403,66,1,Positive,"Overall Got the mobile on the launch date,Battery must be appreciatedCamera is just averageMobile performance is above average90hz refresh rate? If u r buying the mobile for this feature then I'm afraid u may get disappointed, it's just normal.The USB cable is too small in lengthIt's a good mobile in this budget, there are no returns for this,  only replacement is available, hence choose wisely before buying",overall got the mobile on the launch datebattery must be appreciatedcamera is just averagemobile performance is above averagehz refresh rate if u r buying the mobile for this feature then im afraid u may get disappointed its just normalthe usb cable is too small in lengthits a good mobile in this budget there are no returns for this only replacement is available hence choose wisely before buying,"['overall', 'got', 'mobile', 'launch', 'datebattery', 'must', 'appreciatedcamera', 'averagemobile', 'performance', 'averagehz', 'refresh', 'rate', 'buying', 'mobile', 'feature', 'im', 'afraid', 'may', 'get', 'disappointed', 'normalthe', 'usb', 'cable', 'small', 'lengthits', 'good', 'mobile', 'budget', 'no', 'returns', 'replacement', 'available', 'hence', 'choose', 'wisely', 'buying']","['overall', 'got', 'mobile', 'launch', 'datebattery', 'must', 'appreciatedcamera', 'averagemobile', 'performance', 'averagehz', 'refresh', 'rate', 'buying', 'mobile', 'feature', 'im', 'afraid', 'may', 'get', 'disappointed', 'normalthe', 'usb', 'cable', 'small', 'lengthits', 'good', 'mobile', 'budget', 'no', 'return', 'replacement', 'available', 'hence', 'choose', 'wisely', 'buying']",overall got mobile launch datebattery must appreciatedcamera averagemobile performance averagehz refresh rate buying mobile feature im afraid may get disappointed normalthe usb cable small lengthits good mobile budget no return replacement available hence choose wisely buying
A big no from me,1,"1. It doesn't work with 5.0GHz WiFi frequency. 2.4GHz is very old school.2. Camera quality is pathetic (both front and back). Forget about 48MP, pictures are all blur, poorer than a 4MP one.3. Amazon didn't allow to write a review until they sold most of the stock, something very fishy.4. No return policy, you will have to live with the phone you didn't like. Now you decide.",377,67,5,Negative,"A big no from me 1. It doesn't work with 5.0GHz WiFi frequency. 2.4GHz is very old school.2. Camera quality is pathetic (both front and back). Forget about 48MP, pictures are all blur, poorer than a 4MP one.3. Amazon didn't allow to write a review until they sold most of the stock, something very fishy.4. No return policy, you will have to live with the phone you didn't like. Now you decide.",a big no from me it doesnt work with ghz wifi frequency ghz is very old school camera quality is pathetic both front and back forget about mp pictures are all blur poorer than a mp one amazon didnt allow to write a review until they sold most of the stock something very fishy no return policy you will have to live with the phone you didnt like now you decide,"['big', 'no', 'doesnt', 'work', 'ghz', 'wifi', 'frequency', 'ghz', 'old', 'school', 'camera', 'quality', 'pathetic', 'front', 'back', 'forget', 'mp', 'pictures', 'blur', 'poorer', 'mp', 'one', 'amazon', 'didnt', 'allow', 'write', 'review', 'sold', 'stock', 'something', 'fishy', 'no', 'return', 'policy', 'live', 'phone', 'didnt', 'like', 'decide']","['big', 'no', 'doesnt', 'work', 'ghz', 'wifi', 'frequency', 'ghz', 'old', 'school', 'camera', 'quality', 'pathetic', 'front', 'back', 'forget', 'mp', 'picture', 'blur', 'poorer', 'mp', 'one', 'amazon', 'didnt', 'allow', 'write', 'review', 'sold', 'stock', 'something', 'fishy', 'no', 'return', 'policy', 'live', 'phone', 'didnt', 'like', 'decide']",big no doesnt work ghz wifi frequency ghz old school camera quality pathetic front back forget mp picture blur poorer mp one amazon didnt allow write review sold stock something fishy no return policy live phone didnt like decide
Put your money somewhere else,1,"Not worth buying....faulty software, poor display quality, single band wifi doesn't support  5ghz WIFI band. Gyro sensor missing and many more. DONT GO BY PAID REVIEWS IN YOU TUBE",179,29,5,Negative,"Put your money somewhere else Not worth buying....faulty software, poor display quality, single band wifi doesn't support  5ghz WIFI band. Gyro sensor missing and many more. DONT GO BY PAID REVIEWS IN YOU TUBE",put your money somewhere else not worth buyingfaulty software poor display quality single band wifi doesnt support ghz wifi band gyro sensor missing and many more dont go by paid reviews in you tube,"['put', 'money', 'somewhere', 'else', 'not', 'worth', 'buyingfaulty', 'software', 'poor', 'display', 'quality', 'single', 'band', 'wifi', 'doesnt', 'support', 'ghz', 'wifi', 'band', 'gyro', 'sensor', 'missing', 'many', 'dont', 'go', 'paid', 'reviews', 'tube']","['put', 'money', 'somewhere', 'else', 'not', 'worth', 'buyingfaulty', 'software', 'poor', 'display', 'quality', 'single', 'band', 'wifi', 'doesnt', 'support', 'ghz', 'wifi', 'band', 'gyro', 'sensor', 'missing', 'many', 'dont', 'go', 'paid', 'review', 'tube']",put money somewhere else not worth buyingfaulty software poor display quality single band wifi doesnt support ghz wifi band gyro sensor missing many dont go paid review tube
Too much lagging and slow,1,I will never purchase Samsung phones. Phone is lagging too much and slow. Waste of hard earning money.,102,18,5,Negative,Too much lagging and slow I will never purchase Samsung phones. Phone is lagging too much and slow. Waste of hard earning money.,too much lagging and slow i will never purchase samsung phones phone is lagging too much and slow waste of hard earning money,"['much', 'lagging', 'slow', 'never', 'purchase', 'samsung', 'phones', 'phone', 'lagging', 'much', 'slow', 'waste', 'hard', 'earning', 'money']","['much', 'lagging', 'slow', 'never', 'purchase', 'samsung', 'phone', 'phone', 'lagging', 'much', 'slow', 'waste', 'hard', 'earning', 'money']",much lagging slow never purchase samsung phone phone lagging much slow waste hard earning money
Worst samsung mobile ever,1,This is worst samsung mobile I have seen from samsung. It's sceen quality and colors are trash. Even a old 5000 rs phone can beat it's quality. Please never ever buy this product.,179,33,4,Negative,Worst samsung mobile ever This is worst samsung mobile I have seen from samsung. It's sceen quality and colors are trash. Even a old 5000 rs phone can beat it's quality. Please never ever buy this product.,worst samsung mobile ever this is worst samsung mobile i have seen from samsung its sceen quality and colors are trash even a old rs phone can beat its quality please never ever buy this product,"['worst', 'samsung', 'mobile', 'ever', 'worst', 'samsung', 'mobile', 'seen', 'samsung', 'sceen', 'quality', 'colors', 'trash', 'even', 'old', 'rs', 'phone', 'beat', 'quality', 'please', 'never', 'ever', 'buy', 'product']","['worst', 'samsung', 'mobile', 'ever', 'worst', 'samsung', 'mobile', 'seen', 'samsung', 'sceen', 'quality', 'color', 'trash', 'even', 'old', 'r', 'phone', 'beat', 'quality', 'please', 'never', 'ever', 'buy', 'product']",worst samsung mobile ever worst samsung mobile seen samsung sceen quality color trash even old r phone beat quality please never ever buy product
कैसा दिखाते है उसका 10 % भी नही,1,मोबाइल का कैमरा बिल्कुल भी सही नही है 48 PM बताया और क्लियरिटी 5 मेगा पिक्सल का भी नही है ।मोबाइल भी पुराना सा दिखता है ।इसको नही खरीदे,135,29,8,Negative,कैसा दिखाते है उसका 10 % भी नही मोबाइल का कैमरा बिल्कुल भी सही नही है 48 PM बताया और क्लियरिटी 5 मेगा पिक्सल का भी नही है ।मोबाइल भी पुराना सा दिखता है ।इसको नही खरीदे,कैसा दिखाते है उसका भी नही मोबाइल का कैमरा बिल्कुल भी सही नही है pm बताया और क्लियरिटी मेगा पिक्सल का भी नही है ।मोबाइल भी पुराना सा दिखता है ।इसको नही खरीदे,"['कैसा', 'दिखाते', 'है', 'उसका', 'भी', 'नही', 'मोबाइल', 'का', 'कैमरा', 'बिल्कुल', 'भी', 'सही', 'नही', 'है', 'pm', 'बताया', 'और', 'क्लियरिटी', 'मेगा', 'पिक्सल', 'का', 'भी', 'नही', 'है', '।मोबाइल', 'भी', 'पुराना', 'सा', 'दिखता', 'है', '।इसको', 'नही', 'खरीदे']","['कैसा', 'दिखाते', 'है', 'उसका', 'भी', 'नही', 'मोबाइल', 'का', 'कैमरा', 'बिल्कुल', 'भी', 'सही', 'नही', 'है', 'pm', 'बताया', 'और', 'क्लियरिटी', 'मेगा', 'पिक्सल', 'का', 'भी', 'नही', 'है', '।मोबाइल', 'भी', 'पुराना', 'सा', 'दिखता', 'है', '।इसको', 'नही', 'खरीदे']",कैसा दिखाते है उसका भी नही मोबाइल का कैमरा बिल्कुल भी सही नही है pm बताया और क्लियरिटी मेगा पिक्सल का भी नही है ।मोबाइल भी पुराना सा दिखता है ।इसको नही खरीदे
Slow performance,1,The phone hangs a lot and is very slow. I received a replacement which continues to hang,88,17,2,Negative,Slow performance The phone hangs a lot and is very slow. I received a replacement which continues to hang,slow performance the phone hangs a lot and is very slow i received a replacement which continues to hang,"['slow', 'performance', 'phone', 'hangs', 'lot', 'slow', 'received', 'replacement', 'continues', 'hang']","['slow', 'performance', 'phone', 'hang', 'lot', 'slow', 'received', 'replacement', 'continues', 'hang']",slow performance phone hang lot slow received replacement continues hang
Don’t buy from Amazon.,1,Very poor quality camera .Found box seal damage still Amazon not taking it back.waste of money.Phone very slow.Don’t buy from Amazon.Now Amazon started cheating customers to make profits.,187,28,4,Negative,Don’t buy from Amazon. Very poor quality camera .Found box seal damage still Amazon not taking it back.waste of money.Phone very slow.Don’t buy from Amazon.Now Amazon started cheating customers to make profits.,don’t buy from amazon very poor quality camera found box seal damage still amazon not taking it backwaste of moneyphone very slowdon’t buy from amazonnow amazon started cheating customers to make profits,"['buy', 'amazon', 'poor', 'quality', 'camera', 'found', 'box', 'seal', 'damage', 'still', 'amazon', 'not', 'taking', 'backwaste', 'moneyphone', 'slowdon', 'buy', 'amazonnow', 'amazon', 'started', 'cheating', 'customers', 'make', 'profits']","['buy', 'amazon', 'poor', 'quality', 'camera', 'found', 'box', 'seal', 'damage', 'still', 'amazon', 'not', 'taking', 'backwaste', 'moneyphone', 'slowdon', 'buy', 'amazonnow', 'amazon', 'started', 'cheating', 'customer', 'make', 'profit']",buy amazon poor quality camera found box seal damage still amazon not taking backwaste moneyphone slowdon buy amazonnow amazon started cheating customer make profit
